tiempo,paso,n_part
5.647997,0.02,0
5.666997,0.019,0
5.687997,0.021,0
5.707997,0.02,0
5.727997,0.02,0
5.747997,0.02,0
5.767997,0.02,0
5.787997,0.02,0
5.8089967,0.021,0
5.8279967,0.019,0
5.8499966,0.022,0
5.8689966,0.019,0
5.8879967,0.019,0
5.9079967,0.02,0
5.9279966,0.02,0
5.9479966,0.02,0
5.9679966,0.02,0
5.9879966,0.02,0
6.0099964,0.022,0
6.0279965,0.018,0
6.0479965,0.02,0
6.0689964,0.021,0
6.0889964,0.02,0
6.1079965,0.019,0
6.1279964,0.02,0
6.1479964,0.02,0
6.1679964,0.02,0
6.1879964,0.02,0
6.210996,0.023,0
6.2279963,0.017,0
6.2489963,0.021,0
6.2679963,0.019,0
6.289996,0.022,0
6.3079963,0.018,0
6.328996,0.021,0
6.347996,0.019,0
6.369996,0.022,0
6.387996,0.018,0
6.410996,0.023,0
6.429996,0.019,0
6.447996,0.018,0
6.467996,0.02,0
6.487996,0.02,0
6.507996,0.02,0
6.526996,0.019,0
6.548996,0.022,0
6.568996,0.02,0
6.587996,0.019,0
6.607996,0.02,0
6.627996,0.02,0
6.648996,0.021,0
6.667996,0.019,0
6.688996,0.021,0
6.708996,0.02,0
6.727996,0.019,0
6.747996,0.02,0
6.7699957,0.022,0
6.7899957,0.02,0
6.8099957,0.02,0
6.8289957,0.019,0
6.8509955,0.022,1
6.8689957,0.018,1
6.8879957,0.019,1
6.9079957,0.02,1
6.9279957,0.02,1
6.9489956,0.021,1
6.9699955,0.021,1
6.9909954,0.021,1
7.0079956,0.017,1
7.0289955,0.021,1
7.0489955,0.02,1
7.0689955,0.02,1
7.0899954,0.021,1
7.1089954,0.019,1
7.1289954,0.02,1
7.1489954,0.02,1
7.1689954,0.02,1
7.1879954,0.019,1
7.2099953,0.022,1
7.2299953,0.02,1
7.2479954,0.018,1
7.2689953,0.021,1
7.289995,0.021,1
7.309995,0.02,2
7.3269954,0.017,2
7.349995,0.023,2
7.3679953,0.018,2
7.3879952,0.02,2
7.407995,0.02,2
7.427995,0.02,2
7.448995,0.021,2
7.468995,0.02,2
7.488995,0.02,2
7.509995,0.021,2
7.529995,0.02,2
7.547995,0.018,2
7.569995,0.022,2
7.588995,0.019,2
7.608995,0.02,2
7.628995,0.02,2
7.647995,0.019,2
7.666995,0.019,51
7.689995,0.023,51
7.7109947,0.021,51
7.728995,0.018,51
7.747995,0.019,51
7.768995,0.021,51
7.788995,0.02,51
7.807995,0.019,51
7.827995,0.02,51
7.8489947,0.021,51
7.867995,0.019,51
7.887995,0.02,51
7.9079947,0.02,51
7.9289947,0.021,51
7.9479947,0.019,51
7.9679947,0.02,51
7.9909945,0.023,51
8.007995,0.017,51
8.027995,0.02,51
8.047996,0.02,51
8.067996,0.02,51
8.0879965,0.02,51
8.107997,0.02,51
8.128997,0.021,100
8.147997,0.019,100
8.167997,0.02,100
8.189998,0.022,100
8.208998,0.019,100
8.227998,0.019,100
8.246998,0.019,100
8.267998,0.021,100
8.288998,0.021,50
8.307998,0.019,50
8.327998,0.02,50
8.348998,0.021,50
8.370998,0.022,50
8.387999,0.017,50
8.407999,0.02,50
8.4279995,0.02,50
8.45,0.022,50
8.467,0.017,50
8.487,0.02,50
8.51,0.023,50
8.528,0.018,50
8.549,0.021,50
8.57,0.021,50
8.589,0.019,50
8.608,0.019,50
8.628,0.02,50
8.650001,0.022,50
8.668,0.018,50
8.689,0.021,50
8.709001,0.02,50
8.729001,0.02,50
8.748001,0.019,0
8.770001,0.022,0
8.788001,0.018,0
8.8080015,0.02,0
8.828002,0.02,0
8.848002,0.02,0
8.871002,0.023,0
8.888002,0.017,0
8.910003,0.022,0
8.928002,0.018,0
8.948003,0.02,0
8.967003,0.019,0
8.988003,0.021,0
9.008003,0.02,0
9.031003,0.023,0
9.049003,0.018,0
9.068003,0.019,0
9.089003,0.021,0
9.109003,0.02,0
9.128003,0.019,0
9.148004,0.02,0
9.171003,0.023,0
9.190003,0.019,0
9.209003,0.019,0
9.229004,0.02,0
9.248004,0.019,0
9.268004,0.02,0
9.288005,0.02,0
9.308005,0.02,0
9.328006,0.02,0
9.349006,0.021,0
9.368006,0.019,0
9.388006,0.02,0
9.408007,0.02,0
9.428007,0.02,0
9.449007,0.021,0
9.4690075,0.02,0
9.487007,0.018,0
9.508007,0.021,0
9.529007,0.021,0
9.550007,0.021,0
9.571007,0.021,0
9.589006,0.018,0
9.609007,0.02,0
9.629007,0.02,0
9.649008,0.02,0
9.669008,0.02,0
9.688008,0.019,0
9.708009,0.02,0
9.728009,0.02,0
9.749009,0.021,0
9.76901,0.02,0
9.78901,0.02,0
9.8090105,0.02,0
9.828011,0.019,0
9.848011,0.02,0
9.869011,0.021,0
9.889011,0.02,0
9.908011,0.019,0
9.928012,0.02,0
9.949012,0.021,0
9.970012,0.021,0
9.988011,0.018,0
10.010012,0.022,0
10.028011,0.018,0
10.048012,0.02,0
10.070012,0.022,0
10.088012,0.018,0
10.108012,0.02,0
10.129012,0.021,0
10.150012,0.021,0
10.168012,0.018,0
10.188012,0.02,0
10.210012,0.022,0
10.230013,0.02,0
10.248013,0.018,0
10.268013,0.02,0
10.290013,0.022,0
10.310014,0.02,0
10.330014,0.02,0
10.351014,0.021,0
10.369014,0.018,0
10.390014,0.021,0
10.408013,0.018,0
10.429013,0.021,0
10.450013,0.021,0
10.468013,0.018,0
10.489013,0.021,0
10.510013,0.021,0
10.529013,0.019,0
10.548013,0.019,0
10.567013,0.019,0
10.589013,0.022,0
10.610013,0.021,0
10.631013,0.021,0
10.650013,0.019,0
